id,slug,website_before,website_after,changed
"79977646-064f-4542-b55e-972b973e1240","eagle-bay-brewing-co","https://eaglebaybrewing.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp","https://eaglebaybrewing.com.au/",yes
"7f6b57f4-eec9-4210-8698-d61786728fb8","embella-jewellery","https://www.embella.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp","https://www.embella.com.au/",yes
"66f4cba2-6630-4a67-8831-67ea193b338f","emprades-vintage-design","https://emprades.com.au/?utm_source=GoogleLocal&utm_medium=BusinessPage&utm_campaign=GooglePage","https://emprades.com.au/",yes
"3d8a94a7-8444-4f1e-832d-c4c7c50a67d6","ep-fine-art-gallery","https://eleonorapulcinifineart.com/launceston-gallery/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=lton","https://eleonorapulcinifineart.com/launceston-gallery/",yes
"fd4021c9-f900-41b3-86ac-9e129262cfb6","ep-fine-art-gallery-tas","https://eleonorapulcinifineart.com/launceston-gallery/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=lton","https://eleonorapulcinifineart.com/launceston-gallery/",yes
"a532f6f7-6e4a-47eb-8f15-eb2004929a3e","eureka-furniture-port-macquarie","https://www.eurekafurniture.com.au/?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=Eureka+Furniture+Port+Macquarie&utm_term=plcid_16774835146485791093","https://www.eurekafurniture.com.au/",yes
"dd7e2d33-f809-4491-881e-da26a13fab9a","fabric-cartel","https://fabriccartel.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","https://fabriccartel.com/",yes
"f8c316fe-9ffe-4e43-b092-39e4af7ee732","felicity-ceramics","https://www.felicityceramics.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13276361992264953934","https://www.felicityceramics.com/",yes
"aca10db4-8c17-423e-adaa-af49b8c8a36f","felicity-ceramics-nsw","https://www.felicityceramics.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13276361992264953934","https://www.felicityceramics.com/",yes
"ad0abe87-f9ae-4b66-9277-42a3d1cc5a87","five-eleven-distilling","http://fiveelevendistilling.com.au/?utm_source=google&utm_medium=GBP&utm_campaign=StAgnes&utm_content=MainLink","http://fiveelevendistilling.com.au/",yes
